cluster,n_instances,sse,sse_avg
0,206,149.7750643878871,0.7270634193586754
1,151,135.41790192294465,0.8968072975029447
2,62,39.263159636351645,0.6332767683282523
3,82,71.40637559574482,0.8708094584846929
4,109,96.09456290703572,0.8816014945599607
5,209,157.57113604974572,0.7539288806207929
6,105,88.47089965677789,0.842579996731218
7,172,78.56196461462929,0.4567556082245889
8,32,23.345671927434047,0.729552247732314
9,21,11.81323657858147,0.5625350751705462
10,133,115.7756470187156,0.8704935866068843
11,153,132.65363478177377,0.867017220795907
12,23,16.922284669165943,0.735751507355041
13,65,54.11022442151095,0.8324649911001685
14,44,29.401985068202553,0.6682269333682398
15,27,20.52054371365447,0.7600201375427581
16,90,68.36456711506075,0.7596063012784527
17,145,109.13224341329779,0.7526361614710192
18,85,70.09486405467077,0.8246454594667149
19,38,18.20726476601399,0.47913854647405235
20,130,110.2313294412714,0.8479333033943953
21,109,91.78574361577591,0.842071042346568
22,114,88.62757001503057,0.7774348246932506
23,77,61.902942390499284,0.8039343167597309
24,154,131.49898644918196,0.8538895223972854
25,49,39.6435661473634,0.8090523703543552
26,174,161.81321626633252,0.9299610130248995
27,92,75.10258228458378,0.8163324161367802
28,113,95.5349229867951,0.8454417963433194
29,145,130.0469674759102,0.896875637764898
30,165,141.39003380114957,0.8569092957645429
31,94,83.30368308948428,0.8862093945689817
32,49,39.93922081290205,0.8150861390388173
33,66,47.02494502501255,0.7124991670456446
34,57,47.493309540231266,0.8332159568461626
35,10,8.447376954462497,0.8447376954462497
36,80,69.59524701084761,0.8699405876355952
37,148,134.43510036613716,0.90834527274417
38,85,73.57221893133054,0.8655555168391829
39,7,5.524940505404305,0.7892772150577578
40,57,42.7893134554905,0.7506897097454474
41,139,111.13980671114172,0.7995669547564153
42,104,62.882171191074065,0.6046362614526353
43,27,22.880200711790238,0.8474148411774162
44,62,55.186074715939924,0.8900979792893536
45,23,19.075907141362435,0.829387267015758
46,137,72.30552972440114,0.5277775892292054
47,129,106.20182663909429,0.8232699739464674
48,57,39.48154974663886,0.6926587674848923
49,26,13.131004777163456,0.5050386452755176
50,220,174.89797001088507,0.7949907727767503
51,44,30.70535310931412,0.6978489343025936
52,18,14.507386378211343,0.8059659099006302
53,143,127.02315137867149,0.8882737858648355
54,56,48.13865985740147,0.8596189260250263
55,78,66.21489678180367,0.8489089331000471
56,417,169.50300352368092,0.40648202283856333
57,106,84.10820883312655,0.7934736682370429
58,286,211.50377299709763,0.7395236818080336
59,53,47.29080722112324,0.8922793815306271
60,106,91.53831049261461,0.8635689669114586
61,112,98.69222723742304,0.8811806003341343
62,63,56.41467981537674,0.8954711081805832
63,173,164.9842610465789,0.9536662488241554
64,107,91.05040477698346,0.8509383624017145
65,178,173.3511465139174,0.9738828455838057
66,37,31.69132869617221,0.8565223971938435
67,95,71.96751481149444,0.7575527874894151
68,180,140.57449485733667,0.7809694158740926
69,24,20.888312769153398,0.8703463653813915
70,84,76.96567528278496,0.9162580390807733
71,55,49.05540215328789,0.8919164027870526
72,19,14.942843330845774,0.786465438465567
73,63,31.900765518632568,0.5063613574386122
74,82,68.71333536439212,0.8379675044438064
75,107,82.504857906072,0.7710734383745047
76,53,46.61445149997348,0.8795179528296883
77,7,5.221958643883059,0.7459940919832941
78,26,21.478559137979413,0.8260984283838236
79,193,158.46215670172495,0.8210474440503883
80,99,90.80221406254321,0.9171940814398305
81,106,96.30420257273734,0.9085302129503523
82,73,62.42305358269335,0.8551103230505939
83,105,62.89108018028087,0.5989626683836273
84,73,60.4443441502514,0.8280047143870055
85,55,33.477565814932035,0.6086830148169461
86,194,154.15190103344997,0.7945974280074741
87,103,70.64353305701596,0.6858595442428734
88,233,162.0470674188717,0.6954809760466597
89,26,22.824164225531923,0.8778524702127662
90,27,18.10592420577725,0.6705897853991574
91,121,97.03750934576577,0.801962887155089
92,48,37.37129542790886,0.7785686547481013
93,40,23.97507689114578,0.5993769222786445
94,169,134.81176973902467,0.797702779520856
95,11,9.125484549672759,0.8295895045157053
